Evaluations,Played,Time
2239,4,0.33
7936,6,0.79
4224,4,0.38
3456,4,0.37
5504,5,0.55
3072,4,0.31
5760,4,0.53
7808,5,0.73
34,3,0.0199999999999996
5376,4,0.470000000000001
3840,4,0.329999999999999
7040,5,0.66
8832,4,0.88
32,3,0.0200000000000005
3840,4,0.319999999999999
2560,3,0.210000000000001
4992,4,0.44
4992,4,0.44
3848,5,0.339999999999999
3840,4,0.340000000000002
2560,3,0.219999999999999
1598,4,0.16
536,3,0.0800000000000001
1408,3,0.15
1578,4,0.119999999999999
2584,4,0.220000000000001
5760,4,0.529999999999999
3712,3,0.370000000000001
5760,4,0.559999999999999
8320,6,0.850000000000001
3456,4,0.299999999999999
5504,5,0.5
3456,4,0.300000000000001
3456,4,0.33
3456,4,0.34
5888,5,0.58
6272,5,0.57
9088,6,0.899999999999999
32,3,0.0200000000000014
1816,4,0.129999999999999
1432,4,0.0999999999999996
540,4,0.0400000000000009
9856,6,0.950000000000001
2688,4,0.219999999999999
5376,4,0.48
3840,4,0.329999999999998
5888,5,0.550000000000001
536,3,0.0399999999999991
38,4,0.0300000000000011
6656,5,0.609999999999999
7552,6,0.740000000000002
576,5,0.0399999999999991
3760,4,0.34
5040,5,0.449999999999999
4992,4,0.460000000000001
4224,4,0.41
566,4,0.0399999999999991
6784,6,0.710000000000001
6656,5,0.669999999999998
4736,5,0.48
2584,4,0.220000000000002
5888,5,0.59
1408,3,0.0999999999999979
1078,5,0.109999999999999
4736,5,0.48
4352,5,0.43
3456,4,0.290000000000003
5504,5,0.549999999999997
512,2,0.0400000000000027
3504,5,0.34
1456,4,0.140000000000001
5120,5,0.509999999999998
5760,4,0.52
24,2,0.0199999999999996
2944,3,0.240000000000002
4992,4,0.449999999999999
6272,5,0.579999999999998
5760,4,0.530000000000001
0,1,0.0199999999999996
896,2,0.0600000000000023
7040,5,0.639999999999997
7040,5,0.66
2944,3,0.25
4992,4,0.460000000000001
5760,4,0.520000000000003
4224,4,0.369999999999997
5760,4,0.520000000000003
4632,5,0.409999999999997
3456,4,0.289999999999999
4760,6,0.43
4992,4,0.440000000000005
5888,5,0.529999999999994
1816,4,0.150000000000006
5504,5,0.529999999999994
2608,4,0.210000000000001
3456,4,0.310000000000002
5376,4,0.490000000000002
6272,5,0.579999999999998
3840,4,0.350000000000001
560,3,0.0399999999999991
5888,5,0.539999999999999
512,2,0.0399999999999991
9088,6,0.880000000000003
5376,4,0.479999999999997
3840,4,0.329999999999998
3072,4,0.25
3456,4,0.290000000000006
5504,5,0.519999999999996
5120,5,0.460000000000001
5120,5,0.460000000000001
3456,4,0.289999999999999
1066,3,0.119999999999997
1048,4,0.100000000000001
2560,3,0.270000000000003
9472,6,0.919999999999995
3840,4,0.350000000000001
2560,3,0.219999999999999
5120,5,0.460000000000001
5504,5,0.5
4608,4,0.410000000000004
9088,6,0.879999999999995
512,2,0.0400000000000063
5888,5,0.569999999999993
2688,4,0.25
3120,5,0.310000000000002
4656,5,0.469999999999999
5504,5,0.5
7168,6,0.760000000000005
5504,5,0.579999999999998
4671,5,0.460000000000001
3352,4,0.329999999999998
2712,5,0.240000000000002
3840,4,0.349999999999994
4224,4,0.430000000000007
4736,5,0.449999999999996
2176,3,0.200000000000003
6656,5,0.629999999999995
568,4,0.0700000000000003
1432,4,0.109999999999999
6272,5,0.640000000000001
1408,3,0.140000000000001
5120,5,0.490000000000002
560,3,0.0600000000000023
3456,4,0.329999999999998
2878,5,0.240000000000002
3456,4,0.279999999999994
5888,5,0.540000000000006
3840,4,0.369999999999997
5504,5,0.549999999999997
3840,4,0.380000000000003
9088,6,0.880000000000003
3456,4,0.289999999999999
560,3,0.0399999999999991
3456,4,0.289999999999999
2560,3,0.219999999999999
1456,4,0.0900000000000034
4608,4,0.419999999999995
3504,5,0.290000000000006
5504,5,0.569999999999993
1078,5,0.100000000000001
5144,6,0.5
4272,5,0.450000000000003
5504,5,0.519999999999996
1072,4,0.110000000000007
1076,5,0.0899999999999963
5504,5,0.530000000000001
2688,4,0.25
4992,4,0.479999999999997
5888,5,0.560000000000002
3840,4,0.359999999999999
6272,5,0.620000000000005
542,4,0.0699999999999932
1855,4,0.159999999999997
3456,4,0.320000000000007
3840,4,0.340000000000003
5120,5,0.5
3072,4,0.310000000000002
1840,4,0.169999999999987
5504,5,0.530000000000001
2200,4,0.189999999999998
2516,5,0.230000000000004
2588,5,0.219999999999999
5504,5,0.510000000000005
1024,3,0.0900000000000034
2176,3,0.219999999999999
3072,4,0.299999999999997
2560,3,0.209999999999994
2944,3,0.25
560,3,0.0300000000000011
5120,5,0.460000000000008
6272,5,0.599999999999994
5888,5,0.549999999999997
7424,5,0.700000000000003
6656,5,0.620000000000005
5504,5,0.560000000000002
1072,4,0.0799999999999983
5936,6,0.599999999999994
5504,5,0.549999999999997
2686,5,0.210000000000008
3840,4,0.379999999999995
1078,5,0.120000000000005
2560,3,0.230000000000004
1844,5,0.169999999999987
5504,5,0.530000000000001
1408,3,0.100000000000009
1462,5,0.129999999999995
3504,5,0.329999999999998
572,5,0.0700000000000074
4992,4,0.47999999999999
6656,5,0.63000000000001
5888,5,0.549999999999997
3456,4,0.329999999999998
3072,4,0.299999999999997
3072,4,0.27000000000001
3072,4,0.259999999999991
1855,4,0.140000000000001
3456,4,0.290000000000006
4992,4,0.429999999999993
24,2,0.019999999999996
7040,5,0.650000000000006
3352,4,0.290000000000006
6272,5,0.559999999999988
4992,4,0.450000000000003
5888,5,0.600000000000009
6656,5,0.629999999999995
5888,5,0.579999999999998
7040,5,0.700000000000003
7936,6,0.840000000000003
32,3,0.0300000000000011
5504,5,0.5
7040,5,0.640000000000001
948,4,0.0799999999999983
2608,4,0.209999999999994
560,3,0.0300000000000011
3456,4,0.290000000000006
5888,5,0.579999999999998
4992,4,0.439999999999998
1408,3,0.140000000000001
3508,6,0.340000000000003
3504,5,0.329999999999998
2560,3,0.219999999999999
1408,3,0.149999999999991
512,2,0.0400000000000063
1072,4,0.0799999999999983
5888,5,0.590000000000003
3456,4,0.340000000000003
3456,4,0.289999999999992
3072,4,0.299999999999997
2944,3,0.25
3456,4,0.329999999999998
7168,6,0.730000000000004
5120,5,0.5
5888,5,0.560000000000002
3456,4,0.320000000000007
7424,5,0.699999999999989
5888,5,0.620000000000005
5120,5,0.510000000000005
5504,5,0.569999999999993
6272,5,0.600000000000009
1066,3,0.109999999999999
2429,5,0.259999999999991
3456,4,0.320000000000007
6272,5,0.640000000000001
3072,4,0.280000000000001
4224,4,0.390000000000001
3456,4,0.329999999999998
3072,4,0.309999999999988
3072,4,0.310000000000002
