Played,Evaluations,Time
622,5,0.23
1917,7,0.2
1856,6,0.19
2000,6,0.21
2218,7,0.24
382,4,0.04
631,5,0.0599999999999998
2592,7,0.28
1200,4,0.12
1792,5,0.18
2336,6,0.23
1248,4,0.12
368,3,0.0299999999999998
1808,6,0.18
1141,5,0.12
2384,6,0.26
2912,6,0.3
2432,6,0.25
480,4,0.0499999999999998
2496,7,0.25
1888,5,0.2
620,6,0.0599999999999996
342,4,0.04
2816,6,0.3
2112,7,0.24
912,4,0.0800000000000001
160,2,0.00999999999999979
670,5,0.0700000000000003
1216,5,0.12
1856,6,0.2
1360,5,0.13
119,3,0.0199999999999996
1360,5,0.12
722,5,0.0700000000000003
1120,5,0.109999999999999
1312,5,0.140000000000001
1159,5,0.109999999999999
648,5,0.0600000000000005
1856,6,0.19
163,5,0.0200000000000005
1696,5,0.16
1856,6,0.19
2784,7,0.31
1328,6,0.14
1504,5,0.15
560,6,0.0499999999999998
722,5,0.0700000000000003
1856,6,0.199999999999999
2360,8,0.260000000000001
1056,4,0.109999999999999
696,5,0.0700000000000003
1200,4,0.11
1472,6,0.149999999999999
850,6,0.0899999999999999
1324,6,0.13
976,5,0.0999999999999996
1024,5,0.100000000000001
511,5,0.0499999999999989
2288,6,0.24
1808,6,0.200000000000001
1312,5,0.139999999999999
2016,7,0.210000000000001
1521,7,0.17
1609,6,0.16
929,6,0.0899999999999999
901,5,0.0899999999999999
2080,5,0.219999999999999
2000,6,0.210000000000001
1952,6,0.19
700,6,0.0800000000000001
1024,5,0.0999999999999996
1808,6,0.200000000000001
799,5,0.0800000000000001
995,6,0.0999999999999996
2800,5,0.27
960,4,0.0899999999999999
3088,5,0.32
3344,6,0.380000000000001
1472,6,0.16
1168,5,0.119999999999999
2352,4,0.24
2352,7,0.24
2160,7,0.24
66,3,0.00999999999999979
1056,4,0.0999999999999996
214,4,0.0199999999999996
1360,5,0.130000000000001
2000,6,0.199999999999999
1856,6,0.200000000000001
2976,7,0.319999999999999
48,2,0.0200000000000014
3136,8,0.359999999999999
1504,5,0.15
1600,5,0.16
208,3,0.0199999999999996
1168,5,0.109999999999999
1024,5,0.110000000000001
6192,7,0.709999999999999
1440,4,0.15
848,4,0.0700000000000003
495,4,0.0499999999999989
589,5,0.0600000000000005
1504,5,0.16
324,5,0.0299999999999994
619,5,0.0600000000000023
1784,7,0.189999999999998
2672,6,0.280000000000001
1200,5,0.120000000000001
2480,6,0.259999999999998
1419,7,0.16
1227,5,0.120000000000001
99088,6,10.45
1952,6,0.23
1760,6,0.190000000000001
2384,6,0.259999999999998
3008,6,0.32
368,3,0.0399999999999991
491,5,0.0500000000000007
1360,5,0.140000000000001
1072,5,0.109999999999999
1216,5,0.129999999999999
1568,6,0.170000000000002
800,4,0.0700000000000003
1104,4,0.109999999999999
1904,6,0.199999999999999
1664,6,0.190000000000001
1264,5,0.129999999999999
720,4,0.0700000000000003
1269,5,0.129999999999999
1856,6,0.199999999999999
2720,6,0.300000000000001
960,4,0.0899999999999999
1864,6,0.190000000000001
2048,6,0.210000000000001
1456,5,0.149999999999999
1008,4,0.0899999999999999
4240,8,0.460000000000001
2496,4,0.240000000000002
2640,7,0.289999999999999
72,5,0.00999999999999801
1696,5,0.160000000000004
704,3,0.0700000000000003
848,4,0.0699999999999932
656,3,0.0600000000000023
661,5,0.0600000000000023
1440,4,0.140000000000001
1553,6,0.159999999999997
1856,6,0.200000000000003
1808,6,0.189999999999998
1360,5,0.130000000000003
1504,5,0.159999999999997
272,3,0.0200000000000031
848,3,0.0799999999999983
78,5,0.00999999999999801
1984,5,0.200000000000003
1696,5,0.170000000000002
960,4,0.100000000000001
5136,7,0.519999999999996
1264,5,0.130000000000003
800,3,0.0700000000000003
1648,5,0.159999999999997
1776,5,0.170000000000002
1904,6,0.200000000000003
216,4,0.019999999999996
1664,6,0.170000000000002
2560,6,0.269999999999996
2432,6,0.260000000000005
768,5,0.0799999999999983
2240,6,0.219999999999999
3184,5,0.340000000000003
1367,6,0.140000000000001
1488,4,0.149999999999999
976,6,0.0899999999999963
1032,5,0.109999999999999
160,3,0.0100000000000051
1792,6,0.18
1744,5,0.159999999999997
4880,6,0.539999999999999
1168,5,0.109999999999999
3536,6,0.390000000000001
1952,6,0.210000000000001
912,4,0.0900000000000034
768,4,0.0700000000000003
816,4,0.0799999999999983
1152,4,0.109999999999999
468,5,0.0399999999999991
1856,6,0.200000000000003
2144,6,0.219999999999999
1174,5,0.109999999999999
1360,5,0.140000000000001
1104,4,0.109999999999999
1648,5,0.18
2480,6,0.299999999999997
8432,6,0.980000000000004
2080,5,0.219999999999999
1456,5,0.170000000000002
1376,6,0.149999999999999
699,5,0.0799999999999983
869,6,0.100000000000001
1600,5,0.18
2272,5,0.229999999999997
1840,5,0.190000000000005
64,3,0.00999999999999801
2736,7,0.310000000000002
1952,6,0.210000000000001
468,5,0.0499999999999972
464,3,0.0399999999999991
4864,5,0.490000000000002
2080,5,0.229999999999997
74,4,0.0200000000000031
1888,5,0.18
4736,6,0.509999999999998
960,4,0.109999999999999
3232,8,0.399999999999999
208,3,0.0300000000000011
3088,5,0.340000000000003
1904,6,0.199999999999996
1856,6,0.210000000000001
2096,6,0.219999999999999
1664,6,0.190000000000005
1760,6,0.210000000000001
1312,5,0.140000000000001
2576,6,0.309999999999995
1856,6,0.210000000000001
889,5,0.100000000000001
170,5,0.00999999999999801
2048,6,0.219999999999999
2096,6,0.219999999999999
2048,6,0.240000000000002
1568,6,0.190000000000005
608,3,0.0599999999999952
1408,5,0.140000000000001
1408,5,0.149999999999999
19600,5,1.96
2640,7,0.280000000000001
644,6,0.0700000000000003
1808,7,0.189999999999998
1360,5,0.140000000000001
1424,6,0.160000000000004
278,5,0.019999999999996
2672,6,0.289999999999999
512,4,0.0500000000000043
1952,6,0.210000000000001
1616,6,0.169999999999995
912,5,0.0900000000000034
624,4,0.0600000000000023
3968,6,0.439999999999998
1024,5,0.109999999999999
1024,5,0.109999999999999
912,4,0.0900000000000034
560,4,0.0499999999999972
2096,6,0.219999999999999
1664,6,0.18
797,6,0.0799999999999983
2912,6,0.300000000000004
552,5,0.0600000000000023
920,5,0.0999999999999943
2832,7,0.300000000000004
2880,7,0.32
757,5,0.0700000000000003
451,5,0.0399999999999991
7136,5,0.729999999999997
1680,7,0.190000000000005
2112,7,0.229999999999997
781,5,0.0700000000000003
191,5,0.0200000000000031
2080,5,0.219999999999999
39136,7,3.9
2000,6,0.219999999999999
1568,6,0.160000000000004
1072,5,0.109999999999999
368,4,0.029999999999994
2048,6,0.220000000000006
1808,6,0.189999999999998
1760,6,0.189999999999998
464,3,0.0500000000000043
1312,5,0.140000000000001
909,6,0.0899999999999963
687,5,0.0600000000000023
880,5,0.0899999999999963
1392,4,0.140000000000001
1376,6,0.140000000000001
1008,4,0.100000000000001
696,5,0.0700000000000003
2528,6,0.259999999999998
1952,6,0.210000000000001
2272,5,0.25
1568,6,0.170000000000002
1840,5,0.189999999999998
1360,5,0.140000000000001
1456,5,0.149999999999999
688,5,0.0700000000000003
1403,6,0.149999999999999
2480,6,0.280000000000001
2176,5,0.219999999999999
686,6,0.0700000000000074
2464,5,0.259999999999991
413,5,0.0400000000000063
1024,5,0.0999999999999943
278,5,0.0300000000000011
601,5,0.0700000000000074
1664,6,0.179999999999993
870,6,0.0900000000000034
2336,6,0.25
1424,6,0.140000000000001
3824,6,0.439999999999998
1264,6,0.129999999999995
1344,4,0.13000000000001
3632,6,0.409999999999997
1424,6,0.159999999999997
843,5,0.0900000000000034
368,4,0.0400000000000063
2336,6,0.25
1952,6,0.209999999999994
912,5,0.0900000000000034
1360,5,0.140000000000001
1120,5,0.0999999999999943
1072,5,0.120000000000005
368,4,0.0300000000000011
1360,5,0.140000000000001
940,6,0.0999999999999943
1408,5,0.150000000000006
1408,5,0.140000000000001
1216,5,0.149999999999991
661,5,0.0700000000000074
721,5,0.0799999999999983
1424,6,0.159999999999997
1408,5,0.150000000000006
1952,6,0.209999999999994
1216,5,0.129999999999995
3328,5,0.330000000000013
2592,7,0.279999999999987
464,4,0.0400000000000063
