Played,Evaluations,Time
1109,6,0.22
3520,5,0.34
4352,6,0.45
2607,5,0.25
3776,6,0.39
1309,5,0.13
2534,6,0.23
2741,6,0.27
2012,6,0.17
3520,5,0.34
6912,7,0.7
5120,6,0.51
3456,4,0.32
4736,6,0.48
5504,6,0.56
3091,7,0.31
4352,6,0.45
5056,5,0.47
3904,5,0.390000000000001
5312,6,0.52
5504,6,0.56
5312,6,0.52
5696,6,0.6
3328,5,0.34
2741,6,0.26
3520,5,0.33
3904,5,0.360000000000001
3968,6,0.41
1846,6,0.17
3200,6,0.309999999999999
2944,5,0.300000000000001
894,4,0.0899999999999999
1918,5,0.16
6464,6,0.640000000000001
407,4,0.0499999999999989
3136,5,0.32
2092,6,0.210000000000001
2944,5,0.289999999999999
7872,7,0.869999999999999
5312,6,0.550000000000001
1701,6,0.16
3520,5,0.34
3584,6,0.380000000000001
896,3,0.0899999999999999
1933,5,0.200000000000001
4486,7,0.449999999999999
3520,5,0.359999999999999
6080,6,0.609999999999999
2621,6,0.240000000000002
5952,7,0.629999999999999
6848,6,0.73
5312,6,0.549999999999997
4544,6,0.48
7232,6,0.75
1945,6,0.200000000000003
4544,6,0.469999999999999
821,5,0.0700000000000003
5312,6,0.559999999999999
2944,5,0.300000000000001
1560,5,0.149999999999999
3328,5,0.330000000000002
2430,6,0.23
4160,6,0.43
2944,5,0.289999999999999
2510,5,0.219999999999999
5696,6,0.600000000000001
5056,5,0.48
5120,6,0.5
3776,6,0.390000000000001
3712,5,0.369999999999997
2944,5,0.290000000000003
5696,6,0.599999999999998
1895,4,0.16
2670,5,0.25
3904,5,0.370000000000001
4544,6,0.449999999999999
4864,5,0.460000000000001
4480,5,0.43
3712,5,0.359999999999999
4352,6,0.440000000000001
5056,5,0.469999999999999
5696,6,0.57
6528,7,0.670000000000002
70,4,0.0199999999999996
3712,5,0.34
9088,8,0.939999999999998
1136,4,0.0900000000000034
1664,3,0.140000000000001
5760,7,0.579999999999998
5312,6,0.530000000000001
66,3,0.019999999999996
9472,8,0.990000000000002
2688,4,0.25
3312,5,0.299999999999997
4864,5,0.450000000000003
4672,5,0.439999999999998
4928,6,0.510000000000005
4736,6,0.489999999999995
5696,6,0.57
4544,6,0.450000000000003
5312,6,0.549999999999997
4736,6,0.480000000000004
1392,5,0.129999999999995
5120,6,0.530000000000001
5696,6,0.590000000000003
5760,7,0.629999999999995
4096,5,0.400000000000006
5248,5,0.509999999999998
564,5,0.0499999999999972
4544,6,0.469999999999999
5632,5,0.560000000000002
7232,6,0.740000000000002
3520,5,0.350000000000001
2752,5,0.269999999999996
2944,5,0.270000000000003
1280,3,0.0999999999999943
4480,5,0.440000000000005
2496,4,0.25
2496,4,0.240000000000002
3520,5,0.359999999999999
3904,5,0.390000000000001
5376,7,0.599999999999994
1088,3,0.100000000000001
3520,5,0.32
3952,6,0.399999999999999
783,5,0.0700000000000003
2352,5,0.219999999999999
726,5,0.0700000000000003
3904,5,0.359999999999999
8064,7,0.800000000000004
6272,6,0.649999999999999
6080,6,0.590000000000003
4992,7,0.509999999999998
2053,5,0.189999999999998
5504,6,0.539999999999999
1982,5,0.190000000000005
9088,8,0.939999999999998
6784,5,0.649999999999999
4032,4,0.359999999999999
68,4,0.00999999999999801
8512,8,0.880000000000003
4288,5,0.399999999999999
3456,4,0.310000000000002
8448,7,0.850000000000001
1642,6,0.140000000000001
448,2,0.0300000000000011
1309,5,0.109999999999999
2304,4,0.210000000000001
1984,5,0.169999999999995
728,4,0.0600000000000023
3928,6,0.390000000000001
6208,5,0.609999999999999
6464,6,0.640000000000001
72,4,0.019999999999996
3136,5,0.280000000000001
4800,4,0.420000000000002
4336,6,0.420000000000002
1920,4,0.170000000000002
312,4,0.019999999999996
5312,6,0.509999999999998
3803,7,0.370000000000005
1140,5,0.0799999999999983
2053,5,0.189999999999998
5248,5,0.490000000000002
5312,6,0.530000000000001
2560,5,0.229999999999997
3840,4,0.359999999999999
3712,5,0.350000000000009
1597,5,0.129999999999995
3328,5,0.310000000000002
5888,6,0.569999999999993
3504,5,0.320000000000007
1712,4,0.149999999999991
2452,6,0.219999999999999
4480,5,0.430000000000007
