Evaluations,Played,Time
6656,6,1.15
6192,5,0.72
14080,5,1.42
4761,5,1.81
11008,5,1.63
13568,6,2.03
11008,5,1.18
15872,6,1.96
23808,7,3.23
20759,8,3.04
2761,5,0.509999999999998
8704,5,0.890000000000001
6912,4,0.739999999999998
21248,6,2.19
14336,6,1.63
8039,6,1.38
15104,6,1.72
15104,6,1.91
15872,6,1.86
1276,4,1.57
9984,4,0.890000000000001
19968,7,2.4
21248,6,2.19
11264,6,1.76000000000001
19712,6,2.86
7647,6,1.53
4656,5,1.97
18176,6,2.22
15872,6,2.38
38144,9,4.48999999999999
2072,4,0.270000000000003
8704,5,1.42
28416,7,3.09
14336,6,1.63
4503,6,1.12
23808,7,3.06
7168,6,1.36
10138,7,2.47000000000001
15872,6,2.3
13737,7,2.14999999999999
4147,4,2.01000000000001
1276,4,1.77
11776,5,1.31
8602,6,2.48999999999999
15104,6,1.84
7936,5,0.980000000000004
74,4,0.0600000000000023
8551,6,0.959999999999994
19968,7,2.42
10288,6,1.57000000000001
22272,7,3.11999999999999
4809,6,1.97
18176,6,2.10000000000001
2224,4,1.73999999999999
6192,5,0.540000000000006
10395,6,1.22
21504,7,2.95
25344,7,2.77
22528,8,2.53999999999999
20480,6,2.18000000000001
11563,8,1.84
15872,6,1.89999999999999
6168,5,0.63000000000001
17664,7,2.69
4400,5,0.36999999999999
14384,7,2.31
4656,5,0.640000000000001
6919,8,1.25
1686,4,0.230000000000004
3526,6,1.95
15872,6,1.78999999999999
22272,7,2.48999999999999
14080,5,1.62
4656,5,0.460000000000008
25600,8,2.94
4761,5,2.06
5222,5,2.03
23040,7,2.51999999999998
23808,7,2.71000000000001
7984,6,1.46000000000001
9216,4,0.949999999999989
8448,4,0.77000000000001
15872,6,1.97999999999999
15872,6,2.38
19712,6,2.33000000000001
11824,6,1.93000000000001
4761,5,1.98999999999998
16640,6,2.41000000000003
18176,6,2.69
10288,6,1.66999999999999
13616,7,2.20000000000002
18944,6,2.77999999999997
18176,6,2.61000000000001
8039,6,1
7219,6,2.41
9472,5,1.59
16384,5,1.77000000000001
23296,8,3.25999999999999
22272,7,2.75
7629,6,1.44999999999999
6400,5,0.780000000000001
1662,4,0.780000000000001
11776,5,1.34999999999999
8551,6,1.56
23808,7,2.67000000000002
29440,8,3.34
7578,6,1.37
13616,7,1.53
24832,8,3.13
19712,6,2.70999999999998
5219,6,0.719999999999999
8704,5,1.49000000000001
6448,6,1.15000000000001
1284,5,1.72999999999999
2351,5,1.75
14080,5,1.48000000000002
11008,5,1.22999999999999
16128,7,2.00999999999999
7936,5,0.860000000000014
10240,5,1.57999999999998
3888,5,0.900000000000006
6117,6,1.27000000000001
12800,6,1.91
20736,7,2.58000000000001
3147,5,0.349999999999994
8960,6,1.03
8653,7,1.47
7168,5,0.870000000000005
19712,6,2.16999999999999
1894,6,1.72
6758,6,2.19999999999999
9472,5,0.980000000000018
15104,6,1.82999999999998
11056,6,1.37
17664,7,2.15000000000001
20736,7,2.46000000000001
19712,6,2.40000000000001
22272,7,2.72999999999999
11897,7,1.91
7988,5,0.969999999999999
21504,7,2.66
22016,6,2.30000000000001
18176,6,2.12
9063,6,2.53999999999996
6702,5,1.26000000000005
6246,6,1.31
17408,6,2.50999999999999
11776,5,1.19
19712,6,2.14999999999998
17408,6,2.66000000000003
2948,6,1
17408,6,1.94999999999999
14848,5,1.60000000000002
1084,4,0.70999999999998
9520,6,1.54000000000002
15872,6,1.94999999999999
20480,6,2.13999999999999
15104,6,1.68000000000001
11776,5,1.88999999999999
2870,5,0.920000000000016
23296,8,3.11000000000001
9472,5,1.20999999999998
12800,6,1.52999999999997
26368,8,3.80000000000001
10240,5,1.68000000000001
2686,5,1
14336,6,2.23000000000002
9060,7,1.53999999999996
38912,9,4.71000000000004
11893,7,1.89999999999998
638,3,1.74000000000001
4758,6,0.689999999999998
6605,5,2.13
1292,6,1.72000000000003
15104,6,1.76999999999998
2812,5,0.370000000000005
15104,6,1.79000000000002
7168,6,1.44
9472,5,1.20999999999998
9472,5,1.06999999999999
9472,5,0.980000000000018
9728,6,1.56999999999999
9216,4,0.879999999999995
21248,6,2.18000000000001
16368,8,1.89999999999998
2048,3,0.210000000000036
13568,6,2.13999999999999
5680,6,0.729999999999961
5171,5,1.17000000000002
1956,6,0.889999999999986
19200,7,2.96000000000004
7955,6,1.42000000000002
14640,8,2.38
8551,6,1.58999999999997
8141,6,2.44999999999999
6040,6,0.639999999999986
15104,6,2.33000000000004
27136,8,3.91999999999996
18200,7,2.61000000000001
7680,4,0.710000000000036
19200,7,2.19999999999999
15885,7,1.63999999999999
20480,6,2.14999999999998
11008,5,1.18000000000001
4578,6,0.5
12544,5,1.49000000000001
11776,5,1.44999999999999
10496,6,1.61000000000001
16640,6,1.75
25344,7,2.90000000000003
14080,5,1.40999999999997
3584,4,0.379999999999995
10240,5,1.54000000000002
20736,7,2.65999999999997
11776,5,1.43000000000001
8448,4,1.38
12544,5,1.25999999999999
19712,6,2.94000000000005
22784,6,2.72999999999996
4656,5,0.490000000000009
14896,6,1.62
15616,5,1.56999999999999
684,5,1.63
13336,6,1.69999999999999
38912,9,4.56999999999999
13980,7,2.09000000000003
2761,5,1
21504,7,2.96999999999997
14848,5,1.55000000000001
2096,4,0.120000000000005
8960,6,1.56
18176,6,2.09000000000003
15104,6,2.31
11824,6,1.51999999999998
19968,7,2.31999999999999
4656,5,0.379999999999995
3888,5,0.490000000000009
11776,5,1.27999999999997
12544,5,1.35000000000002
15872,6,1.77999999999997
6783,6,0.689999999999998
20736,7,2.64000000000004
11776,5,1.85999999999996
15896,7,2.39000000000004
12032,6,1.85999999999996
2096,4,0.150000000000034
6144,4,0.639999999999986
15616,5,1.55000000000001
19712,6,2.26999999999998
15872,6,2
20736,7,2.53000000000003
