Evaluations,Played,Time
46200,7,7.452465
41000,5,8.420527
20000,5,2.500156
19800,4,3.464216
14600,5,2.852179
36800,5,10.376648
25600,6,4.98031099999999
18720,5,3.760235
33800,5,7.072442
9197,5,3.796238
17600,5,2.56016
36920,6,12.436777
19460,6,4.040252
28000,6,6.19638800000001
14000,5,3.548221
10320,5,3.61222599999999
24200,5,3.34420900000001
27800,5,4.364273
17926,5,7.060441
1710,6,1.27608000000001
34520,6,8.15651
22800,4,4.13225799999999
12660,5,3.63622700000001
43600,6,13.140821
23800,6,4.91630799999999
41920,7,7.640477
20120,6,4.72429500000001
16460,6,3.97224900000001
39800,5,7.51246899999998
17600,5,3.36021
33440,6,9.148572
12726,6,3.164198
26526,6,6.740421
31720,7,5.62435100000002
32000,5,7.29245599999999
11897,5,3.564223
23800,6,5.06431600000002
27000,7,5.89636899999999
15200,5,2.844178
20000,5,4.90430599999999
18200,5,3.312207
27400,6,3.22820200000001
28400,5,8.67254199999999
25000,6,6.064379
19400,5,4.48828
20000,5,3.50021899999999
7800,4,2.800175
40000,6,8.29251800000003
4728,5,2.37214899999998
28600,6,5.69235500000002
31400,5,7.03643999999997
24920,6,6.156385
24400,6,4.96030999999999
23000,5,7.20445000000001
32400,7,4.61228800000004
33320,6,5.380337
12660,5,3.88424199999997
44800,6,7.64447799999999
26800,6,4.77229800000003
14046,6,2.86818
37600,6,6.74442099999999
29800,6,5.860366
21400,6,4.39227499999998
475,4,0.760047000000043
24320,6,5.32833299999999
27800,5,7.59247499999998
26000,5,3.74823400000002
13800,4,1.79611199999999
24200,5,3.42421400000001
11597,5,4.04825299999999
5328,5,2.32014499999997
22320,5,4.78429900000003
21400,6,3.74023399999999
44440,7,9.22057599999999
15600,4,3.55222200000003
18920,6,2.93618399999997
13222,6,3.22420099999999
19320,5,2.87218000000001
22260,5,6.39640000000003
18124,6,5.392337
10999,4,3.18419899999998
32800,6,6.19638700000002
20000,5,3.39221199999997
15200,5,3.65222800000004
17600,5,2.60416299999997
29320,7,5.03231399999999
33320,6,9.89261900000002
21320,6,3.87224199999997
34000,6,5.86436600000002
5997,4,2.648166
15060,5,2.90418099999999
24800,5,3.56022300000001
21200,5,3.35620899999998
33920,6,8.22851500000002
27800,5,6.34839599999998
28000,6,4.17626100000001
17600,5,4.37627400000002
45000,7,9.88461799999999
15240,5,4.39227399999999
37800,7,8.668542
29120,6,4.94030900000001
27400,6,4.68029200000001
34000,6,7.10444399999994
39400,6,8.76854800000001
17600,5,2.14813400000003
27920,6,5.69235600000002
44200,6,8.24451499999998
33600,7,5.96437300000002
26600,5,7.76848599999994
32240,6,10.24464
18800,5,3.35220900000002
42800,5,16.4170260000001
4668,5,2.11613299999999
6098,4,1.64810299999999
32200,6,6.71641899999997
31400,5,7.08844299999998
23600,5,4.260267
9660,5,3.01218800000004
12846,6,2.94418399999995
12800,5,2.94818400000008
17000,5,3.9922499999999
26000,5,7.17244800000003
23800,6,4.14825900000005
31200,4,9.38058599999999
28400,5,8.27251699999999
32200,6,7.12444599999992
24000,4,4.84030200000007
20800,6,4.08025499999997
11496,5,4.72429499999998
25000,6,4.37627400000008
27200,5,2.90418099999999
28000,6,5.16832299999999
20040,5,4.54428399999995
10395,6,1.77611100000001
11400,4,3.25220400000001
30400,6,5.196324
15200,5,3.28420600000004
29800,6,5.24032699999998
24200,5,4.99231199999997
23840,6,4.556285
33800,5,6.40440000000001
40800,7,7.436465
23800,6,3.72823300000005
15250,6,3.43621499999995
30800,5,4.67229199999997
35000,5,9.28858000000002
8320,4,3.56422299999997
10200,4,2.48815500000001
23800,6,4.50028200000008
42400,6,8.73254499999996
21120,5,4.64029000000005
24400,6,4.76829799999996
25400,5,8.42852700000003
24920,6,4.51628199999993
29320,7,6.86042900000007
11196,5,2.52815799999996
33800,5,9.25257799999997
29240,6,5.83236499999998
21120,5,4.39627500000006
22460,6,6.056378
26000,5,5.42433900000003
8446,5,1.97612399999991
29200,6,8.73654600000009
32200,6,5.58834899999999
25460,6,3.60022499999991
26000,5,4.79630000000009
17000,5,4.27626699999996
50320,7,15.020939
32000,5,9.28458000000001
38699,6,7.59647500000005
23600,5,4.52828299999999
41040,6,10.756672
22400,5,3.28420499999993
27400,6,3.61222600000008
19600,6,3.83623999999998
25000,6,3.43621399999995
22400,5,5.344334
20000,5,3.80023800000004
23000,5,4.44427800000005
18400,3,2.92018199999995
30400,6,5.95237199999997
25272,7,5.02031399999998
20000,5,3.80823800000007
27920,6,5.56034699999998
39800,5,13.1848239999999
33800,5,10.7606730000001
9720,5,2.66416599999991
21124,6,5.00031300000001
25400,5,5.23232700000005
24244,6,5.048315
40600,6,7.98849999999993
6396,5,1.30008100000009
8454,5,3.668229
35800,6,8.06050400000004
43000,6,10.9366829999999
22200,4,7.72448299999996
14200,3,2.64016500000002
24248,6,6.10038099999997
27532,5,10.596663
39600,7,7.80848800000012
18800,5,3.51221899999996
30040,7,6.57641100000001
4524,5,1.32808299999988
22000,6,3.92424500000016
42200,5,13.26883
36600,7,8.7205449999999
14640,6,3.46021599999995
33400,6,5.74435900000003
12120,5,3.85224100000005
6859,5,2.91218200000003
20872,6,6.10038099999997
26640,5,3.9682479999999
26600,5,4.14825900000005
10896,5,2.32814600000006
23000,5,6.62041299999987
28000,6,5.85636600000021
15240,6,3.4042129999998
31400,5,9.0565660000002
38200,6,8.03650199999993
36200,5,9.16857299999992
5796,5,1.12006999999994
3624,5,0.936059000000114
43600,6,11.476717
20200,6,4.31627000000003
34600,6,5.74435900000003
17040,5,2.46415400000001
36000,7,6.1123819999998
12040,5,3.31620700000008
21200,5,5.18832399999997
25400,5,5.44834100000003
33320,6,9.26857900000005
10320,5,3.30420699999991
26660,6,4.87630400000012
33200,5,7.97249899999997
14600,5,3.48421699999994
27200,5,4.77629900000011
29000,5,4.05625299999997
6957,5,1.56409800000006
20000,5,3.988249
32040,6,5.19232499999998
26800,6,5.86836700000003
38440,7,8.53253299999983
22600,6,3.26820399999997
29640,6,5.52834600000006
15499,4,7.49646800000005
28000,6,4.56028500000002
20332,6,7.89249300000006
19400,5,2.45615399999997
40800,7,7.608475
26200,6,4.67229199999997
26200,6,6.24839100000008
25600,6,5.03631499999983
30200,5,4.32427000000007
23200,6,4.76429800000005
9120,5,2.86817900000005
16440,5,4.53228299999978
27200,5,9.32458300000008
3573,4,1.59209899999996
23200,6,4.27626800000007
30400,6,8.372523
34200,7,7.3604600000001
21000,4,7.44446499999981
46600,6,11.8807430000002
56440,7,11.1126939999999
14600,5,2.01612599999999
15600,4,2.30414399999995
18920,6,4.5042820000001
18124,6,4.82030099999997
6996,5,1.37208600000008
31520,6,4.64828999999986
29200,6,6.51640700000007
40000,6,7.02443900000003
35800,6,8.06050400000004
51600,7,10.9286829999999
33200,5,6.00037500000008
26800,6,5.244328
20600,5,4.65229099999988
20000,5,3.09619300000008
20120,6,4.58828700000004
30440,6,8.38052399999992
26800,6,5.98437400000012
18000,4,3.31220699999994
34600,6,6.92843300000004
37800,7,6.22838899999988
20600,5,5.02831400000014
21846,6,4.23226499999987
16120,4,3.13619600000015
37400,5,8.19651199999998
22600,6,4.876305
9400,3,2.05212799999981
12898,5,4.6522910000001
42400,6,11.9367460000001
30320,6,6.06837899999982
17600,5,3.86424099999999
45400,6,13.7768610000001
17800,6,4.27626800000007
29200,6,5.92436999999995
18800,5,4.75629700000013
20200,6,4.56028499999979
25000,6,3.5402210000002
28600,6,6.66441699999996
19400,5,5.77636099999995
31000,6,6.86442899999997
10246,5,2.38814900000011
24998,6,5.02831399999991
7724,5,3.86824200000001
26400,4,5.78436199999987
27234,7,6.68041700000003
26200,6,5.47234200000003
31200,4,8.64454000000001
26000,5,4.236265
21200,5,4.47227999999996
29800,6,6.38039800000001
38000,5,9.43259000000012
6996,5,1.40808799999991
40600,6,7.56847300000004
29800,6,6.32039499999996
23840,6,7.49246800000014
36800,5,8.7965499999998
17600,5,4.39227400000004
7296,5,1.47209199999998
40000,6,7.95249699999999
14600,5,3.21620100000018
17400,4,2.88017999999988
15726,6,3.36821099999997
25400,5,4.8963060000001
15200,5,4.112257
39400,6,7.76848500000006
30200,5,8.39652499999988
28000,6,5.06431700000007
10697,5,4.08425499999998
25600,6,5.01631299999985
29660,6,9.2565790000001
23720,6,4.56428499999993
29000,5,5.24832800000013
6297,4,1.28808099999992
28460,6,5.54434600000013
32200,6,6.48440499999992
27400,6,6.10838199999989
19400,5,5.71235700000011
12720,5,3.40421300000003
