Evaluations,Played,Time
28520,7,1.688105
27648,7,1.44009
19712,6,1.056066
23144,7,1.28408
5792,4,0.216014
17068,7,0.852053
34560,7,1.940121
45672,8,2.672167
12212,6,1.308082
36096,7,1.980124
22736,7,1.232077
26576,7,1.472092
32720,7,1.908119
32256,7,1.852116
24320,6,1.368085
14032,6,0.748047
17872,6,0.992062000000001
11786,6,1.424089
29696,6,1.740109
32000,6,1.836115
26624,6,1.500093
36608,6,2.23614
25856,6,1.492093
32256,7,1.904119
36096,7,2.156135
15360,4,0.888056000000006
3608,7,0.17201
39424,8,2.416151
21968,7,1.27208
22784,6,1.28408
17408,6,0.884054999999996
16384,5,0.896056000000002
22376,7,1.252079
41832,8,2.552159
32720,7,1.91212
25088,6,1.380086
34560,7,2.064129
28160,6,1.640102
38400,7,2.264142
31488,7,1.94812200000001
27648,7,1.620101
23508,8,1.412088
19048,6,1.104069
41472,7,2.50815700000001
32256,7,1.96812299999999
37632,7,2.312144
21248,6,1.192075
24016,6,1.464091
46080,7,2.896181
36048,8,2.124133
20480,6,1.172073
25856,6,1.632102
118272,7,8.144509
422,4,0.0520039999999966
8420,8,0.432027000000005
28416,7,1.76011
10604,7,0.536033000000003
40960,8,2.448153
36096,7,2.15613499999999
29288,7,1.788112
23552,6,1.35608400000001
24320,6,1.41208899999999
22272,7,1.24807800000001
27392,6,1.520095
20480,6,1.16807299999999
23504,7,1.372085
7650,7,0.376024000000001
28520,7,1.62010100000001
14038,7,0.808051000000006
24576,7,1.39608699999999
12240,5,0.692042999999998
49408,8,3.14419700000001
34032,8,2.07612899999999
21248,6,1.25207899999999
6864,5,0.336021000000002
7662,7,0.444027000000006
23808,7,1.468092
36096,7,2.296144
3944,4,0.184010999999998
27648,7,1.672105
19668,8,1.19207400000001
22124,7,1.452091
15568,6,0.896055999999987
34976,7,2.24014000000003
13264,6,0.780048999999991
29952,7,1.860116
23536,6,1.50409399999998
28880,7,1.748109
34560,7,2.088131
33280,8,2.13213300000001
23552,6,1.34008399999999
10662,6,0.55203400000002
27648,7,1.73210799999998
23504,7,1.41208900000001
30720,7,1.852115
25448,7,1.576099
22256,7,1.464091
15212,7,0.836052999999993
36096,7,2.24014
33792,7,2.068129
34816,5,2.25214100000002
16384,5,1.00406199999998
34560,7,2.14413400000001
41428,9,2.728171
35024,7,2.160135
32160,8,1.816113
27648,7,1.656104
16744,6,0.996061999999995
17920,5,1.016064
29184,7,1.67610400000001
22272,7,1.21607599999999
26096,7,1.54809700000001
8056,6,0.432027000000005
22736,7,1.35608500000001
23552,6,1.35208399999999
29904,8,1.84411599999999
19412,7,1.10406900000001
22528,5,1.26407900000001
36864,7,2.27614199999999
23248,6,1.324083
13270,7,0.728045000000009
25344,7,1.46809199999998
33024,7,1.98412400000001
31488,7,1.84411499999999
26880,7,1.644103
14800,6,0.87205400000002
42496,8,2.69216899999998
26624,6,1.6001
29184,7,1.78411100000002
25208,7,1.42008899999999
36096,7,2.204138
29288,7,1.79611199999999
10708,6,0.596036999999995
27392,6,1.588099
22904,7,1.34408400000001
15872,6,0.85205400000001
33024,7,2.024126
22784,6,1.49209299999998
37632,7,2.51615800000002
20480,6,1.31608199999999
25344,7,1.66410400000001
12972,6,0.71604499999998
4332,6,0.244015000000019
19712,6,1.224076
33792,7,2.23213999999999
33024,7,2.100131
17152,5,1.04406499999999
29952,7,1.91612000000001
11520,4,0.636040000000008
28928,6,1.724108
17056,6,0.948059000000001
25856,6,1.59209899999999
28160,6,1.608101
22692,8,1.34408400000001
6248,4,0.308019000000002
19664,7,1.09206799999998
13284,8,0.740047000000004
19456,5,1.14807100000002
41472,7,2.54816
15568,6,0.856053000000003
3944,4,0.224013999999983
5082,5,0.216014000000001
22376,7,1.29608100000002
46848,7,2.87617899999998
28928,6,1.64810300000002
28160,6,1.700107
47616,7,3.02418899999998
4718,5,0.232013999999992
22784,6,1.34808400000003
25856,6,1.51609500000001
33792,7,2.04012799999998
8960,7,1.34808399999997
26112,7,1.62810200000001
30464,6,1.748109
28880,7,1.76411000000002
10662,6,0.536033999999972
59136,7,3.90424400000001
19712,6,1.11206900000002
10484,6,0.572036000000026
25088,6,1.47209199999998
18160,6,1.00406299999997
27392,6,1.56009700000004
25856,6,1.50009399999999
33024,7,2.104131
17872,6,1.10006900000002
29184,7,1.78011099999998
18944,6,1.03606500000001
21488,7,1.232077
27392,6,1.552097
29184,7,1.78411199999999
33792,7,2.12813299999999
