Evaluations,Played,Time
32104,7,1.712107
28672,6,1.412088
35176,7,1.860116
45568,6,2.608163
13734,6,0.500030999999999
50176,6,2.736171
76800,7,4.32027
42856,7,2.292144
4624,5,2.772173
53760,7,2.740171
44032,6,2.500156
19152,5,0.880055000000002
40144,7,2.268142
27344,6,1.460091
75624,8,4.292269
51712,6,2.96818500000001
50688,7,2.640165
6943,5,3.228202
40960,6,2.32414499999999
15264,7,0.880055000000006
29696,5,1.720108
51440,6,3.148196
53760,7,3.128196
28880,6,1.832114
36352,6,2.05612900000001
33640,7,1.856116
38912,5,2.336146
48640,6,2.796175
50688,7,2.912182
45568,6,2.640165
13989,5,0.708044000000001
22016,5,1.22007600000001
61440,7,3.62422699999999
19304,6,1.04806500000001
56016,8,3.36021
50176,6,2.75617200000001
16112,6,0.920057999999997
21920,6,1.24807799999999
33488,6,2.01212600000001
16600,7,1.12806999999999
56832,7,3.40021300000001
13008,5,1.024064
46440,8,2.832177
22016,5,1.400087
55808,8,3.67623
58368,7,3.588224
28064,6,1.616101
75776,8,5.100319
40352,6,2.308144
58368,7,3.380211
52224,7,3.08819299999999
49152,7,3.116195
33488,6,2.180136
426,5,0.0840060000000022
3794,8,0.392023999999992
41472,7,2.80017500000001
61440,7,3.780236
45568,6,2.88418099999998
42496,6,2.37214800000001
44544,7,2.628164
45472,7,2.740171
50688,7,3.072192
47616,7,2.82417699999999
24942,6,1.33208300000001
34535,7,2.38014899999999
38096,6,2.34414599999999
47824,7,3.03219000000001
67584,7,4.088255
62160,8,4.16426099999998
49152,7,2.992187
34816,6,2.000125
66048,7,4.16826
48880,7,2.956185
39936,7,2.388149
21214,8,1.200075
53760,7,3.588224
30568,7,2.056129
39424,6,2.42815200000001
28160,5,1.496093
33280,6,1.95612199999999
49360,7,3.256204
28160,5,1.964123
25088,5,1.29608100000002
52224,7,3.120195
51712,6,3.288205
19152,5,1.18007399999999
62976,7,4.02425099999999
25808,6,1.34408400000001
53488,7,3.140197
10242,5,0.812049999999999
33280,6,1.89211900000001
50688,7,3.11619399999998
55296,7,3.68423100000001
55296,7,3.700231
35024,6,2.19613699999999
49664,8,3.07619199999999
36352,6,2.38014900000002
37736,6,2.12013299999998
32768,5,2.00012500000003
47616,7,2.66016599999998
